,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-29a-3p,0.84451179733635,13.3830233883236,2.9488993420176,0.0047179760574946,0.0114872460530304,-2.59979836407386,2.82568414742921,1.9397840763881298,P.adj < 0.05
hsa-miR-331-3p,0.844525103594394,11.1090848899216,2.90948971731651,0.0049667125421773,0.0119886164811178,-2.73480345665291,2.80918481453989,1.921230932771455,P.adj < 0.05
hsa-miR-1303,-2.41921979854081,7.98369026033314,-2.88004110941226,0.0055255967274902,0.0132236502880108,-2.86576267586705,-2.77468046955467,1.8786486446147266,P.adj < 0.05 & log2FC < -1
hsa-miR-3200-3p,1.14834785679113,7.61562999129583,2.86469417206951,0.0056923209718999,0.0135072023062034,-2.90824606555132,2.76499762803148,1.8694345953747644,P.adj < 0.05 & log2FC > 1
hsa-miR-15a-5p,-1.55534338359304,8.39286808098611,-2.83524877167941,0.0063204271336503,0.0148715932556478,-2.8992724371587,-2.73067758327701,1.8276425012111017,P.adj < 0.05 & log2FC < -1
hsa-miR-454-3p,-1.36983272114933,8.58771184456929,-2.81619462832865,0.0065711905892847,0.0153327780416645,-2.99653160384681,-2.71782841368561,1.8143791511559901,P.adj < 0.05 & log2FC < -1
hsa-let-7d-5p,0.73570818499549,12.810959323415,2.80196355477455,0.0066571194317655,0.0153598325318848,-3.00035304653473,2.71352674481652,1.8136135193875025,P.adj < 0.05
hsa-miR-4800-5p,-1.96800157933201,10.1331234583953,-2.80894717130437,0.0066924984603212,0.0153598325318848,-3.0456816448485,-2.71177013577898,1.8136135193875025,P.adj < 0.05 & log2FC < -1
hsa-miR-30a-5p,-1.34263936473565,7.77694211748077,-2.71951258207616,0.0086017668042242,0.0195812577657136,-3.20880078529537,-2.62748882138154,1.708159415537723,P.adj < 0.05 & log2FC < -1
hsa-miR-18a-5p,-1.58137793375398,7.48856776834868,-2.70298298835697,0.0087262538208459,0.0197044441115875,-3.29199055184477,-2.62259655250216,1.7054358126469165,P.adj < 0.05 & log2FC < -1
hsa-miR-18b-5p,-1.58902089669976,7.51520740546111,-2.69941115174231,0.0088108898034905,0.0197363931598188,-3.30060448167323,-2.6193059009187,1.7047322120469426,P.adj < 0.05 & log2FC < -1
hsa-miR-548aj-5p,-1.7469865941176,6.6006841075497,-2.70980478637328,0.0089664961466824,0.0199255469926276,-3.28490202939303,-2.61332892255696,1.7005897475921208,P.adj < 0.05 & log2FC < -1
hsa-let-7b-3p,-1.28018140626819,7.46439661777552,-2.68731576602811,0.0094123808513221,0.0207517058139386,-3.33149655031291,-2.59670103357444,1.6829461979816958,P.adj < 0.05 & log2FC < -1
hsa-miR-532-5p,-1.20439075106407,7.6171953053093,-2.65603356971819,0.0099003094332914,0.0216569268853251,-3.37260394718948,-2.57929188229933,1.664403169660535,P.adj < 0.05 & log2FC < -1
hsa-miR-383-5p,1.13957583517627,7.57013513642583,2.64287985189237,0.0102541349380312,0.0222570370747964,-3.45554955220527,2.56713950451485,1.652532650770071,P.adj < 0.05 & log2FC > 1
hsa-miR-1285-5p,-2.10820808069931,9.33825191640816,-2.63746685584893,0.0105803311545776,0.0227884055637057,-3.45284877853474,-2.55626236188801,1.6422860600371887,P.adj < 0.05 & log2FC < -1
