"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"hsa-miR-320a-3p",0.522110909703413,10.2402971137524,1.64159644781368,0.104640520260524,0.350460041865101,-5.43479744321441,1.62276093211887
"hsa-miR-193b-3p",0.69716735557382,6.87775424161975,1.6368171361501,0.105635119001892,0.350460041865101,-5.52420986866305,1.6181275191247
"hsa-miR-16-5p",0.407059845172558,12.4547734675252,1.61708670456602,0.109834562135725,0.360155192119471,-5.50537130685436,1.59893717805199
"hsa-miR-15a-5p",0.696833654648836,8.42963716650706,1.59424760194064,0.115000357820659,0.372759780522135,-5.45756310180114,1.57611042107566
"hsa-miR-140-5p",0.394445824370671,10.2024842833865,1.57959437491308,0.118184275785716,0.378726883767863,-5.56731373721689,1.56244040092014
"hsa-miR-8485",-0.833735299666779,14.7481370675604,-1.55738884185216,0.123400982951541,0.391000867329601,-5.59222611521368,-1.5406541433893
"hsa-miR-342-3p",-0.405509839730362,12.1569528842954,-1.53650997667225,0.128464549559779,0.402522255287307,-5.51893361131403,-1.52018474806623
"hsa-miR-10395-3p",0.519400848396321,10.0514708324391,1.52918475291117,0.130208614093827,0.403503617301748,-5.63209399346666,1.51327975035591
"hsa-miR-7-5p",-0.569788385367399,11.1560273547493,-1.5253930511119,0.131763802326338,0.403884698435079,-5.38903042234078,-1.50718282121248
"hsa-miR-708-5p",-0.667256432368815,9.2893220130754,-1.5156725076171,0.133582009873501,0.405055126713195,-5.62784392149267,-1.50012506294056
"hsa-miR-1255b-5p",-1.08910541419082,7.49791887086803,-1.49706380306079,0.138455696395167,0.415367089185502,-5.65590365335033,-1.4815664319127
"hsa-miR-22-5p",-0.628143885197497,8.22731492187322,-1.47332804350843,0.14471946585544,0.429588309170885,-5.66691162668436,-1.45843940508236
"hsa-miR-543",-0.608799790767836,7.20887580886036,-1.46451157212787,0.147293497039775,0.432674647554338,-5.62934090118204,-1.44915788043882
"hsa-miR-379-5p",-0.594955778312159,7.48000202658172,-1.45547496236994,0.149727170529612,0.435289299890211,-5.65474774582503,-1.44049582442358
"hsa-miR-619-5p",-1.00422697523262,15.2302732234137,-1.44706936936569,0.151956122002333,0.437261493925082,-5.71072036962253,-1.43265616645317
"hsa-miR-1249-3p",0.608541418768985,7.67142395470833,1.43557558973444,0.155059587628729,0.441684885972744,-5.76273534771715,1.42188517488917
"hsa-miR-28-5p",0.384052029212882,10.4101286797967,1.41929201477518,0.159736423847043,0.44663284072649,-5.80981605105846,1.40595858246545
"hsa-miR-548h-3p",-0.917897400990469,7.17414661182453,-1.41022822007525,0.162524052589409,0.44663284072649,-5.76711272284104,-1.39663269700168
"hsa-miR-28-3p",0.505331000905928,8.79119468765816,1.40924257571858,0.162676535225945,0.44663284072649,-5.80575947519683,1.39612606760518
"hsa-miR-299-5p",-0.566231696081895,7.71045689630244,-1.40786150047109,0.163398945038022,0.44663284072649,-5.73234007788627,-1.39373068966339
"hsa-miR-1296-5p",0.569028558724204,8.27995262222016,1.40277900274977,0.16471565757289,0.44663284072649,-5.75572888611906,1.38938516945305
"hsa-miR-744-5p",-0.48131226090646,9.6812104396486,-1.38814397772361,0.169024230239619,0.450033134772457,-5.81257381744726,-1.37534590799558
"hsa-miR-1246",-0.845129122267386,10.7269671762951,-1.38616904219788,0.169584252138216,0.450033134772457,-5.8055495230744,-1.37354091053806
