,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-301a-3p,-0.796380602232091,10.980903962107,-2.6506966751678,0.0104581694810961,0.0318292114642056,-3.30092614901498,-2.56030048329208,1.4971741204423417,P.adj < 0.05
hsa-miR-149-5p,-1.27393990409137,8.71393263462052,-2.57835182011744,0.0125297397298842,0.0377239475738449,-3.47833979885576,-2.49686287708019,1.4233828673707238,P.adj < 0.05 & log2FC < -1
hsa-miR-484,0.995139660867778,9.46507278850707,2.53963524312998,0.013456352399321,0.0400827518277647,-3.59286582124796,2.471457555731,1.397042470209965,P.adj < 0.05
hsa-miR-190a-3p,1.27040115617059,7.69410411071346,2.53306794023637,0.0136878069297621,0.0403430098982461,-3.67088140751201,2.46535367502753,1.394231703212117,P.adj < 0.05 & log2FC > 1
hsa-miR-185-5p,0.96730090768429,10.620013526942,2.51474604039163,0.0146730334823868,0.0427963476569616,-3.66800946517676,2.44035011456846,1.3685932931389402,P.adj < 0.05
hsa-miR-139-3p,-1.12947654394368,7.2664474193667,-2.4432971721468,0.0178522374873366,0.0515322319222088,-3.83478254929973,-2.36866868503807,1.2879210473214209,NS
hsa-miR-33a-5p,-1.14796124259704,9.97570488942271,-2.42179299248268,0.0185010652479985,0.0528601864228529,-3.81581889940312,-2.35543436252204,1.2768713095684108,NS
hsa-miR-505-3p,1.15648922605995,7.14436997512778,2.41203084264007,0.0188493227742857,0.0533112159272728,-3.95232348258584,2.34849755850915,1.2731814119323088,NS
hsa-miR-107,0.939996508252332,10.6912320852236,2.39151255394908,0.0197981365086195,0.0552727259265183,-3.87877910109828,2.33015166651535,1.25748911646306,NS
hsa-miR-1185-5p,-1.16923182901306,7.42157922965829,-2.39156556662552,0.0199376618520655,0.0552727259265183,-3.96856205043786,-2.32751894529613,1.25748911646306,NS
hsa-miR-210-3p,1.26215347607979,7.59369285628194,2.38470964954258,0.0202860140591217,0.0556870974171968,-3.96533817167629,2.32101537508986,1.254245418284539,NS
hsa-miR-320b,1.202997514351,9.18241487431701,2.35710072446849,0.0216112383031456,0.0587489973289395,-4.01335963260778,2.29713204365323,1.2309995411111143,NS
hsa-miR-409-3p,-1.13700964221192,7.55974504812875,-2.35469280879454,0.0218501084395598,0.058827215029584,-4.03214675478014,-2.29296346501607,1.2304217112915135,NS
hsa-miR-339-3p,-1.00567472636999,7.11028751741469,-2.33757425076427,0.0224471254235413,0.0598590011294435,-4.11709875455478,-2.28271561440091,1.222870534532083,NS
hsa-miR-656-3p,-1.11126791921815,6.89949099876948,-2.31961400192297,0.0237899444060579,0.0617403917320156,-4.14974448133156,-2.26050471060455,1.209430619322452,NS
hsa-miR-20a-5p,1.0579108745988,8.93934764190718,2.31317749071486,0.0238337680462845,0.0617403917320156,-4.15666270212204,2.25979836322526,1.209430619322452,NS
hsa-miR-664b-3p,1.10714540005361,10.2063621342306,2.3077577876326,0.0241519360465654,0.0617403917320156,-4.11037637119522,2.2547036557513,1.209430619322452,NS
hsa-miR-342-5p,1.03290430145115,8.35408947133633,2.3168619136179,0.0241994767446023,0.0617403917320156,-4.11446066358424,2.25394740787433,1.209430619322452,NS
hsa-miR-99a-5p,-0.811650180977436,11.2782517042554,-2.31107226582866,0.0242551538947204,0.0617403917320156,-4.06381999962292,-2.25306336610143,1.209430619322452,NS
hsa-miR-193b-3p,-1.21272290322109,6.71044815633769,-2.20786251448569,0.0307291360889192,0.0775149378819583,-4.42099500736198,-2.16056269026289,1.1106145966605374,NS
hsa-miR-379-5p,-1.02705528961055,7.5727381840344,-2.19188502809177,0.0324847474006893,0.0812118685017233,-4.34712601797552,-2.13839439015304,1.0903804972594602,NS
hsa-miR-3200-3p,-0.923214147849617,7.61562999129583,-2.17718910752347,0.0334075430058199,0.0827797525807927,-4.409614892411,-2.12715095093851,1.0820758759898255,NS
hsa-let-7f-5p,0.544351368620475,14.4787603213137,2.1670007834989,0.0343891537572514,0.084220178208042,-4.40440121243224,2.11547887251974,1.074583843957224,NS
hsa-miR-181d-5p,-1.09496545727543,7.6574983284069,-2.15769688351993,0.0345904303354458,0.084220178208042,-4.43461838813947,-2.11312079391911,1.074583843957224,NS
hsa-miR-25-3p,0.883360388873632,10.3914588973534,2.13618350124806,0.0363721795066264,0.0877949160504776,-4.50184590759802,2.09274213802647,1.0565306321024404,NS
hsa-miR-885-5p,-1.02879605982354,8.163004049815,-2.09723737043884,0.0405093506582955,0.096945454566861,-4.51389061051636,-2.04851717808388,1.013472548656526,NS
hsa-miR-323a-3p,-1.0590600045507,8.94804165182662,-2.09709958485218,0.0408557154936451,0.096945765578141,-4.44994411465521,-2.04499130341094,1.0134711553960924,NS
hsa-miR-935,-1.13896215736853,8.61070032548769,-2.05868365408115,0.0443271574573919,0.10375813404549,-4.55802919332785,-2.0109838987151,0.9839778470727224,NS
hsa-miR-432-5p,-1.13637652415428,7.21381943510512,-2.05529872683527,0.0444677717337814,0.10375813404549,-4.6510317848629,-2.00965447177638,0.9839778470727224,NS
hsa-miR-487b-3p,-1.06982464263771,8.49683430085168,-2.03793456495414,0.0455622718687027,0.105276910806398,-4.65438546720166,-1.99942608551685,0.9776668672656307,NS
hsa-miR-1249-3p,-1.05856956219553,7.69136364894599,-2.03494635310901,0.0458706539942163,0.105276910806398,-4.71041350741589,-1.99658159373016,0.9776668672656307,NS
hsa-miR-136-5p,-0.872284142525519,8.15112006663346,-2.01874061739203,0.0475745789502009,0.107586526871084,-4.70719862560288,-1.98114888986253,0.9682421122375502,NS
hsa-miR-127-5p,-0.820263598167099,7.05568786177466,-2.0199689724218,0.047684950159984,0.107586526871084,-4.74569366791194,-1.98016536601717,0.9682421122375502,NS
hsa-miR-7704,-0.945657065585671,8.95553518120192,-2.01444625217123,0.0480351235146163,0.107586526871084,-4.76520991577504,-1.97705756658175,0.9682421122375502,NS
hsa-miR-6724-5p,-1.42206236322432,7.50621535088764,-2.01393057024962,0.0484139370919879,0.107586526871084,-4.77632629354405,-1.97371694686075,0.9682421122375502,NS
hsa-miR-491-5p,-1.01311275133622,7.98171571970833,-1.99074929603018,0.0506459533844749,0.111660369666559,-4.75574271256512,-1.95446751165106,0.9521009386933543,NS
hsa-miR-876-5p,-0.944172818496848,7.73454285868079,-1.95421193886897,0.0551367725645003,0.120611689984845,-4.837359524063,-1.91779687197855,0.9186105972549796,NS
hsa-miR-106b-5p,0.93246213430302,8.39596807483352,1.94134189750445,0.0564823806857624,0.122597415441965,-4.91186016284686,1.90729512852618,0.9115186853732672,NS
hsa-miR-192-5p,-0.894340362627756,7.0750902730346,-1.92161368910782,0.059340507355575,0.127230699673619,-4.93431437604613,-1.88566206941045,0.8954080845194698,NS
hsa-miR-598-3p,-0.742309591303538,8.58727203386749,-1.92563962804254,0.0596979004084765,0.127230699673619,-4.81156505105402,-1.88301820834129,0.8954080845194698,NS
hsa-miR-181a-5p,-0.643856741610879,13.0195846743029,-1.91810977888641,0.0599801869889919,0.127230699673619,-4.81178597485601,-1.88093922217233,0.8954080845194698,NS
hsa-miR-98-5p,-0.597410033609513,10.8213960461834,-1.89194416191185,0.0635105734223377,0.133240800235155,-4.91133935508451,-1.85560014215457,0.8753627676300022,NS
hsa-miR-874-3p,-0.968729995241784,9.07097857692917,-1.88464905686667,0.0638755223108515,0.133240800235155,-4.92286738488906,-1.85304769817263,0.8753627676300022,NS
hsa-miR-101-5p,-0.951703187176122,7.24206848186896,-1.88199275938304,0.0642411001133783,0.133240800235155,-5.0273184916791,-1.85050290234448,0.8753627676300022,NS
hsa-miR-29c-5p,0.843268128149282,9.24088741872287,1.86869420583515,0.0660980028270481,0.136084123467452,-4.99118305426179,1.8377584763766,0.8661925396950976,NS
hsa-miR-24-3p,0.52494746637873,12.9964395287226,1.85690529502884,0.0682067167082749,0.139400588892825,-4.97965313360934,1.82363866777443,0.8557353915725566,NS
hsa-miR-148a-3p,1.20493737899571,6.85159835700502,1.85221325787659,0.0687696344128433,0.139532591562291,-5.05346395638017,1.81993020495802,0.8553243394694563,NS
hsa-miR-30c-5p,0.752917818647791,9.85899051024604,1.83001698107744,0.0722330819483012,0.145505488816722,-4.91781863684592,1.79764626404605,0.8371206237375011,NS
hsa-miR-138-5p,-0.893921490831426,10.0393231166114,-1.78044385971212,0.079599440014602,0.159198880029204,-5.07466663430626,-1.75301495540428,0.7980599918674924,NS
hsa-miR-485-3p,-0.840587828013104,7.49116787449148,-1.77925862033363,0.0807982924296281,0.160450509789332,-5.06535010421433,-1.74607285810376,0.7946588987096919,NS
hsa-miR-26b-5p,0.880465209904749,9.14049851939507,1.76470002182669,0.0825986983620888,0.16066182322401,-5.1218901397708,1.73580285938497,0.7940873088799343,NS
hsa-miR-326,-0.861890649519813,6.90150507434083,-1.76438789424829,0.0826791874518224,0.16066182322401,-5.19889237205553,-1.73534798377301,0.7940873088799343,NS
hsa-miR-19b-3p,0.64145020020092,12.913441245435,1.76112883532299,0.0828420526622292,0.16066182322401,-5.16530630491069,1.73442866497431,0.7940873088799343,NS
hsa-miR-3613-5p,0.885222028086196,6.68668838973067,1.76048430185638,0.0831998727410054,0.16066182322401,-5.24202178447827,1.73241402440785,0.7940873088799343,NS
hsa-miR-421,-0.895384683157367,7.79452351162854,-1.73740940047488,0.0875124371202267,0.167832071189476,-5.20246591217429,-1.70866814952669,0.7751250458330466,NS
