,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-23b-3p,0.961134638801683,12.2303430019272,5.20213683257013,8.19396842939301e-06,1.7513825650611e-05,3.38622439118308,4.46005222338692,4.756618977989907,P.adj < 0.05
hsa-miR-4449,-1.57068831713,8.36499901131491,-4.88868471314672,1.64949778655852e-05,3.49893469876049e-05,2.56280417977368,-4.30771493730776,4.4560641627564825,P.adj < 0.05 & log2FC < -1
hsa-miR-340-5p,-1.20581687391815,9.70469889568907,-4.88790166256657,1.66346121595996e-05,3.50202361254729e-05,2.8981072891363,-4.30584950724227,4.455680929993172,P.adj < 0.05 & log2FC < -1
hsa-miR-143-3p,-2.03780298128109,7.82082935619047,-4.53307578589346,2.50491677793401e-05,5.23415446135464e-05,1.84482009192351,-4.2143562097914,4.28115346535602,P.adj < 0.05 & log2FC < -1
hsa-miR-5701,-1.73897398506688,8.26288016583236,-4.62229598529295,3.06689451425249e-05,6.3609663999311e-05,1.88204123864456,-4.1684414989651,4.196476898459477,P.adj < 0.05 & log2FC < -1
hsa-miR-664b-3p,-1.36866474675717,10.2063621342306,-4.47461049650039,3.09146144243702e-05,6.36477355795857e-05,1.58471574809382,-4.16662224639488,4.196217042800338,P.adj < 0.05 & log2FC < -1
hsa-miR-30a-5p,-1.5588876097062,7.77694211748077,-4.6679296612108,3.2100814700095e-05,6.56075044965445e-05,2.07072144175022,-4.1580269594417,4.183046481126893,P.adj < 0.05 & log2FC < -1
hsa-miR-6516-3p,-1.83831623804553,8.88446154723539,-4.60501851706286,3.39323701867079e-05,6.88482873353494e-05,1.99842868845104,-4.14533065351334,4.162106858748501,P.adj < 0.05 & log2FC < -1
hsa-miR-339-3p,1.37953274025635,7.11028751741469,4.44469013300253,3.4412407391363e-05,6.93199573351196e-05,1.5218298316694,4.14211076070673,4.1591417132565605,P.adj < 0.05 & log2FC > 1
hsa-miR-98-5p,0.961191396125477,10.8213960461834,4.68274889654261,4.32342033435619e-05,8.64684066871238e-05,2.21403094564808,4.08947962964714,4.063142543491884,P.adj < 0.05
hsa-miR-203a-3p,1.72105479921919,8.04843739801281,4.37108857769271,4.47313655834261e-05,8.88282437117681e-05,1.26422426914736,4.08157589602912,4.0514489245602725,P.adj < 0.05 & log2FC > 1
hsa-miR-1260b,-1.44990527691549,9.03488718222656,-4.56258768380489,4.61173637601906e-05,9.09356468510801e-05,1.52420819059507,-4.07447955762466,4.041265839594348,P.adj < 0.05 & log2FC < -1
hsa-miR-140-5p,-0.947886656554067,10.1698677867315,-4.35503840185471,4.73512581461915e-05,9.2715750216319e-05,1.17692279611563,-4.06833015089776,4.032846483212501,P.adj < 0.05
hsa-miR-656-3p,1.55071822406884,6.89949099876948,4.50656856986672,5.90704848862134e-05,0.0001148592761676,1.62366703824754,4.01649353014219,3.939833924929375,P.adj < 0.05 & log2FC > 1
hsa-let-7c-5p,0.85477230607709,14.1589009172588,4.26108734747721,6.59417247464384e-05,0.0001273357443379,0.884076292542773,3.99047275251503,3.895049668697486,P.adj < 0.05
